meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
,Spremanje,canvas.Screen,2_1_2,,,,,,response,2769.1600000000035,162748,162746.58,162749.84,165519,165526,2024-06-18T07:28:09.062Z,165533.16,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,mousedown,,Tko je jučer susjedu ukrao kobasicu?,Jučer je riđa mačka susjedu ukrala kobasicu.,gf,,,50,KOBASICU; KOBASICA,Što je ukrala mačka?,
,Question form,html.Form,2_1_3,,,,,,form submission,6074.8399999999965,165526,165524.3,165533.16,171608,171609,2024-06-18T07:28:15.145Z,171615.28,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,kobasicu,Tko je jučer susjedu ukrao kobasicu?,Jučer je riđa mačka susjedu ukrala kobasicu.,gf,,,50,KOBASICU; KOBASICA,Što je ukrala mačka?,
,Answer indication,canvas.Screen,2_1_4,,,,,,response,4559.720000000001,171612,171605.6,171615.28,176175,176180,2024-06-18T07:28:19.715Z,176198.08,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,mousedown,,Tko je jučer susjedu ukrao kobasicu?,Jučer je riđa mačka susjedu ukrala kobasicu.,gf,,,50,KOBASICU; KOBASICA,Što je ukrala mačka?,
,inter-stimulus,canvas.Screen,2_1_5,,,,,,response,4585.920000000013,176180,176181.42,176198.08,180784,180803,2024-06-18T07:28:24.338Z,180814.1,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,mousedown,,Tko je jučer susjedu ukrao kobasicu?,Jučer je riđa mačka susjedu ukrala kobasicu.,gf,,,50,KOBASICU; KOBASICA,Što je ukrala mačka?,
,Sequence,flow.Sequence,2_1,,,,,,completion,29682.459999999992,151084,151084.9,151101.54,180784,180805,2024-06-18T07:28:24.340Z,180814.1,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,Tko je jučer susjedu ukrao kobasicu?,Jučer je riđa mačka susjedu ukrala kobasicu.,gf,,,50,KOBASICU; KOBASICA,Što je ukrala mačka?,
,context,canvas.Screen,2_2_0_0,,,,,,response,3938.899999999994,180806,180798.88,180814.1,184753,184759,2024-06-18T07:28:28.295Z,184763.46,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,click,,Što želiš da pronaći nije bilo teško?,Pronaći apoteku nije bilo teško.,si,,,14,,,2305
,Timer frame,html.Frame,2_2_0,,,,,,,3945.899999999994,180806,180798.88,180814.1,184760,184760,2024-06-18T07:28:28.295Z,184763.46,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,Što želiš da pronaći nije bilo teško?,Pronaći apoteku nije bilo teško.,si,,,14,,,2305
,stimulus,canvas.Screen,2_2_1_0,,,,,,response,5286.540000000008,184761,184758.62,184763.46,190050,190067,2024-06-18T07:28:33.602Z,190079.4,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,1,click @1,,Što želiš da pronaći nije bilo teško?,Pronaći apoteku nije bilo teško.,si,,,14,,,2305
,Timer frame,html.Frame,2_2_1,,,,,,,5303.540000000008,184760,184758.62,184763.46,190067,190067,2024-06-18T07:28:33.603Z,190079.4,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,Što želiš da pronaći nije bilo teško?,Pronaći apoteku nije bilo teško.,si,,,14,,,2305
,Spremanje,canvas.Screen,2_2_2,,,,,,skipped,,190068,,,190067,190068,2024-06-18T07:28:33.603Z,190079.4,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,Što želiš da pronaći nije bilo teško?,Pronaći apoteku nije bilo teško.,si,,,14,,,2305
