meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,stimulus,context,island_type,transfer_s,transfer_c,id,movement,opposition,category
,Sequence,flow.Sequence,2_2,,,,,,completion,7550,88280.40000000037,88268.066,88284.5,95834.5,95835.19999999925,2025-02-01T12:30:56.807Z,95867.6,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,"Što, Perići znaju, da je Petar kupio na tržnici?",Perići znaju da je Petar kupio sat na tržnici.,fac,,,37,ob,ob + ad_mode,interrogative pronouns
,context,canvas.Screen,2_3_0_0,,,,,,response,2571.2000000007392,95835.40000000037,95851.1,95867.6,98438.80000000075,98439.19999999925,2025-02-01T12:30:59.411Z,98467.6,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,click,Koliko je moja sestra platila taksi od zračne luke.,Moja sestra platila je taksi od zračne luke.,gf,0,0,46,filler,filler,filler
,Timer frame,html.Frame,2_3_0,,,,,,,2571.7000000007392,95835.30000000075,95851.1,95867.6,98439.30000000075,98439.40000000037,2025-02-01T12:30:59.411Z,98467.6,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,Koliko je moja sestra platila taksi od zračne luke.,Moja sestra platila je taksi od zračne luke.,gf,0,0,46,filler,filler,filler
,stimulus,canvas.Screen,2_3_1_0,,,,,,response,5435.999999999622,98439.59999999963,98451.062,98467.6,103903.59999999963,103904.19999999925,2025-02-01T12:31:04.876Z,103934.1,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,4,click @4,Koliko je moja sestra platila taksi od zračne luke.,Moja sestra platila je taksi od zračne luke.,gf,0,0,46,filler,filler,filler
,Timer frame,html.Frame,2_3_1,,,,,,,5436.700000000739,98439.5,98451.062,98467.6,103904.30000000075,103904.30000000075,2025-02-01T12:31:04.876Z,103934.1,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,Koliko je moja sestra platila taksi od zračne luke.,Moja sestra platila je taksi od zračne luke.,gf,0,0,46,filler,filler,filler
,inter-stimulus,canvas.Screen,2_3_2,,,,,,response,354.0999999992491,103904.40000000037,103917.4,103934.1,104288.19999999925,104288.69999999925,2025-02-01T12:31:05.260Z,104300.8,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,mousedown,Koliko je moja sestra platila taksi od zračne luke.,Moja sestra platila je taksi od zračne luke.,gf,0,0,46,filler,filler,filler
,Sequence,flow.Sequence,2_3,,,,,,completion,8420.59999999925,95835.30000000075,95851.1,95867.6,104288.19999999925,104288.80000000075,2025-02-01T12:31:05.260Z,104300.8,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,Koliko je moja sestra platila taksi od zračne luke.,Moja sestra platila je taksi od zračne luke.,gf,0,0,46,filler,filler,filler
,context,canvas.Screen,2_4_0_0,,,,,,response,3499.000000000742,104289,104284.132,104300.8,107799.80000000075,107800.5,2025-02-01T12:31:08.772Z,107817.3,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,click,Koliko pjesama Stepan nije stignuo naučiti za sat književnosti?,Stepan nije stignuo naučiti 3 pjesme za sat književnosti.,neg,,,24,ad_measure,ad_mode + ad_measure,interrogative pronouns
,Timer frame,html.Frame,2_4_0,,,,,,,3499.7999999996246,104288.80000000075,104284.132,104300.8,107800.59999999963,107800.59999999963,2025-02-01T12:31:08.772Z,107817.3,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,Koliko pjesama Stepan nije stignuo naučiti za sat književnosti?,Stepan nije stignuo naučiti 3 pjesme za sat književnosti.,neg,,,24,ad_measure,ad_mode + ad_measure,interrogative pronouns
,stimulus,canvas.Screen,2_4_1_0,,,,,,response,6573.699999999997,107800.80000000075,107800.7,107817.3,114391,114391.59999999963,2025-02-01T12:31:15.363Z,114400.5,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,3,click @3,Koliko pjesama Stepan nije stignuo naučiti za sat književnosti?,Stepan nije stignuo naučiti 3 pjesme za sat književnosti.,neg,,,24,ad_measure,ad_mode + ad_measure,interrogative pronouns
